Jhimruk River Hydrology Data													
Daily Discharge m3/sec													
													
F.Y.: 2051/52													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
17	120.54	29.55	48.75	20.50	9.26	6.89	6.18	4.17	4.23	2.60	3.58	133.64	
18	105.42	29.05	48.38	19.96	9.14	6.99	6.09	4.42	3.98	2.72	3.28	204.51	
19	89.46	28.97	42.20	19.31	8.93	6.98	5.90	4.68	3.79	2.61	2.81	83.25	
20	81.34	27.17	47.62	18.94	8.69	6.77	5.83	4.43	3.92	2.71	2.83	101.56	
21	78.11	26.09	43.80	18.75	8.60	6.67	5.93	4.22	3.63	2.53	2.34	119.06	
22	80.50	28.98	52.38	18.04	8.53	6.53	5.75	4.09	3.48	2.42	3.29	110.89	
23	71.75	34.48	68.60	16.41	8.44	6.49	5.74	3.92	3.59	2.20	10.67	87.98	
24	59.36	47.07	47.38	15.57	8.46	6.55	5.53	3.96	3.77	2.00	16.95	75.27	
25	59.77	59.42	44.73	15.16	8.22	6.53	5.54	3.89	3.69	2.25	9.82	97.30	
26	67.60	72.48	41.72	15.00	8.10	6.41	5.01	4.12	5.16	2.24	7.43	97.15	
27	63.24	56.36	41.16	14.84	8.04	6.25	5.11	5.77	3.97	2.10	6.27	87.59	
28	59.29	55.95	39.43	14.71	7.89	6.24	5.09	7.13	3.47	2.26	6.55	78.00	
29	57.73	51.23	37.29	14.74	7.79	6.17	5.18	6.62	3.41	11.99	6.71	62.54	
30	67.65	69.94	35.89	14.08	7.71			5.29	3.31	22.62	4.52	55.28	
31	68.20	76.23						5.17	3.37	4.85	17.87	55.87	
32	64.48												
													
F.Y.: 2074/75													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	49.14	86.11	28.45	20.42	8.34	6.16	5.31	5.23	3.26	3.46	2.61	2.78	163.719
2	49.18	82.22	37.73	19.79	8.34	6.13	5.30	4.68	5.91	3.29	2.09	2.54	
3	44.93	81.98	66.26	18.52	8.32	6.06	5.19	4.40	4.16	3.00	1.78	1.97	
4	44.28	80.21	55.79	18.37	8.31	6.08	5.10	4.35	3.68	2.75	1.55	1.69	
5	41.99	77.86	84.60	17.57	8.33	6.12	5.14	4.26	3.63	2.97	1.20	1.68	
6	53.25	78.06	73.94	16.91	8.27	6.39	5.03	4.22	3.66	2.83	4.39	1.58	
7	44.34	83.58	65.50	16.14	8.32	6.11	5.04	4.29	3.58	2.54	2.06	1.64	
8	42.54	81.26	58.50	15.44	8.28	6.08	5.02	4.14	3.90	2.51	1.65	1.53	
9	40.71	77.59	53.95	14.55	8.18	5.73	5.04	4.04	3.79	2.32	1.42	2.40	
10	42.12	75.41	49.82	14.31	7.99	5.95	5.43	3.94	3.37	2.30	1.68	3.92	
11	41.24	70.93	46.48	14.17	8.01	5.94	5.10	3.81	3.30	2.11	1.41	2.35	
12	37.56	62.53	47.78	16.12	8.03	5.52	5.06	3.73	3.26	2.22	1.37	8.30	
13	32.90	58.17	42.63	14.61	7.96	5.81	4.94	3.71	3.54	2.26	1.15	6.96	
14	46.46	54.42	41.91	13.78	7.68	5.74	4.93	3.74	3.21	3.65	1.48	3.88	
15	66.90	55.68	41.01	13.71	7.63	5.53	4.88	3.73	3.21	3.12	2.69	2.44	
16	62.10	56.90	41.73	13.59	7.56	5.55	4.81	3.82	3.82	2.72	3.91	2.71	
17	58.08	55.50	33.40	13.14	7.57	5.52	4.85	3.84	3.76	3.72	2.52	4.33	
18	71.91	52.57	31.11	12.88	7.55	5.61	4.77	3.66	3.43	4.13	4.47	39.71	
19	75.92	50.32	30.01	12.73	7.52	5.62	4.75	3.52	3.46	3.00	4.09	16.18	
20	163.72	48.10	29.45	12.28	7.47	5.51	4.69	3.40	3.29	3.74	3.08	7.89	
21	120.77	54.41	28.62	12.06	7.43	5.52	4.57	3.31	4.93	3.09	2.58	5.37	
22	100.48	47.86	26.94	11.71	7.31	5.49	4.45	3.38	4.74	2.79	3.52	4.73	
23	103.87	41.08	26.63	11.34	7.25	5.42	4.54	3.31	4.07	2.42	2.44	7.23	
24	88.17	38.28	25.62	11.07	6.99	5.41	4.51	3.15	7.74	2.15	2.35	10.55	
25	88.25	36.70	25.19	10.54	6.82	5.36	4.34	3.15	5.26	1.72	23.64	15.87	
26	86.05	34.83	23.62	9.86	6.87	5.34	4.23	3.27	5.37	1.64	6.25	11.12	
27	77.80	33.33	23.03	9.46	6.81	5.20	4.17	3.22	5.73	1.41	7.04	14.56	
28	75.99	32.12	22.68	8.94	6.59	5.21	4.13	3.19	6.21	1.41	4.39	22.45	
29	101.32	31.64	22.45	8.92	6.16	5.29	4.30	3.18	4.79	1.11	3.26	14.52	
30	88.35	36.18	22.25	8.64		5.22		3.19	3.99	1.35	4.71	17.39	
31	78.52	31.97	21.65							5.02	2.90	27.39	
32	77.76											33.54	
													
F.Y.: 2075/76													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	23.68	91.65	36.77	14.20	7.74	5.89	4.88	5.66	4.16	3.77	2.22	1.52	175.976
2	42.73	79.34	35.13	14.20	7.74	5.69	4.87	5.67	4.07	3.25	2.11	1.28	
3	24.07	70.72	32.01	14.10	7.76	5.61	4.74	5.91	3.95	3.45	1.58	1.45	
4	23.12	68.17	29.62	13.57	7.78	5.49	4.70	7.27	4.05	4.59	1.14	1.52	
5	23.51	60.19	32.41	13.07	7.63	5.62	4.61	6.90	4.01	3.66	1.16	1.90	
6	19.80	63.72	34.28	12.68	7.51	5.43	4.61	5.81	3.99	3.52	1.11	1.72	
7	51.55	63.46	30.23	12.64	7.47	5.49	4.69	6.06	3.74	3.12	0.86	5.95	
8	34.27	68.77	28.69	12.43	7.23	5.58	4.75	5.50	3.63	3.35	0.70	8.30	
9	38.79	71.06	26.72	11.93	7.07	5.57	6.22	5.20	3.59	4.77	0.90	5.29	
10	32.50	64.20	25.00	11.37	7.04	5.53	5.26	5.10	3.50	3.84	0.87	9.29	
11	29.93	65.95	24.35	10.98	6.90	5.39	5.85	5.00	3.56	3.41	0.80	8.77	
12	32.55	76.72	24.17	10.83	6.79	5.32	11.15	4.89	4.48	3.22	0.95	4.77	
13	40.70	67.90	23.56	10.66	6.84	5.49	7.11	4.81	4.64	2.95	0.77	2.91	
14	39.03	69.11	22.88	10.35	6.72	5.34	6.16	4.71	4.07	2.82	0.72	7.84	
15	33.90	109.53	21.66	10.00	6.59	5.36	6.12	6.63	3.76	2.70	0.80	18.06	
16	32.94	85.65	20.98	9.74	6.48	5.21	5.51	9.09	3.77	2.36	18.05	6.73	
17	50.52	82.32	20.38	9.59	6.48	5.24	5.20	6.65	3.89	2.24	6.64	7.01	
18	44.46	75.89	21.39	9.60	6.32	5.23	5.23	5.87	3.54	2.48	5.63	11.14	
19	53.36	74.54	22.24	9.55	6.11	5.25	5.16	5.89	3.75	2.60	10.59	5.44	
20	80.11	66.62	19.33	9.27	6.04	5.12	4.77	5.50	3.58	3.19	7.41	7.39	
21	61.68	61.88	19.30	8.91	5.90	5.10	4.85	5.17	3.78	2.89	3.08	21.24	
22	48.81	65.18	20.06	8.77	5.91	5.06	4.81	5.24	3.55	2.62	2.59	20.47	
23	44.51	53.39	18.63	8.63	5.77	5.17	4.85	4.99	9.97	2.42	2.61	45.41	
24	39.61	49.27	18.44	8.54	5.81	5.27	6.85	4.91	7.78	2.32	4.75	46.46	
25	46.31	47.34	18.36	8.51	5.90	5.20	8.84	4.77	5.81	2.23	2.85	29.51	
26	50.70	45.51	17.48	8.65	5.79	5.14	14.65	4.60	4.31	1.95	2.71	24.44	
27	55.85	42.12	16.69	8.62	5.89	5.07	8.21	4.47	3.89	1.97	3.46	29.98	
28	52.74	42.50	16.13	8.65	5.90	4.99	6.81	4.32	3.85	1.61	4.15	47.03	
29	91.24	40.49	15.57	8.41	5.91	4.90	6.15	4.28	3.62	1.31	3.77	32.24	
30	175.98	39.37	15.56	7.98		4.89		4.07	3.73	1.45	2.54	24.24	
31	89.33	40.88	14.61							2.74	2.28	19.87	
32											1.81		
													
F.Y.: 2076/77													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	26.91	43.64	94.95	22.77	9.64	7.70	5.77	4.89	5.52	3.77	7.33	29.61	132.414
2	29.76	38.11	103.58	22.30	9.61	7.41	6.54	4.60	8.31	13.71	6.89	31.48	
3	26.02	32.66	85.35	21.56	9.39	7.25	12.65	4.58	6.09	15.34	5.73	28.64	
4	39.36	42.58	74.64	20.98	9.17	7.20	9.61	4.62	5.21	10.93	5.25	41.26	
5	42.39	48.89	80.08	19.72	9.01	6.80	7.68	4.54	5.12	4.71	4.87	57.69	
6	37.92	40.21	67.66	18.84	8.76	6.80	6.48	4.56	5.02	4.14	4.31	90.07	
7	49.33	82.73	61.57	18.54	8.69	6.69	5.88	4.45	5.09	3.82	4.11	69.04	
8	52.44	91.54	57.56	17.90	8.69	6.70	5.75	4.46	5.42	3.70	3.98	70.31	
9	48.52	64.51	58.84	16.96	8.69	6.09	5.83	4.50	9.19	5.91	3.73	50.76	
10	39.64	50.04	52.88	16.12	8.69	6.45	5.83	5.22	6.88	6.13	3.55	42.47	
11	41.06	44.37	48.72	15.67	8.71	6.07	5.75	4.82	5.75	5.35	3.65	41.40	
12	33.88	42.17	46.76	15.48	8.30	5.95	5.79	4.85	5.38	5.70	3.11	37.62	
13	29.37	38.74	43.24	15.21	8.38	6.21	5.79	6.29	5.20	5.13	3.19	67.07	
14	28.42	41.31	46.12	14.97	8.08	6.01	5.69	7.79	4.98	7.35	4.14	85.97	
15	25.21	53.02	39.64	14.82	7.85	5.77	5.93	6.12	4.88	5.70	5.11	131.85	
16	29.46	38.63	37.31	14.50	7.84	5.67	5.79	5.36	4.52	5.95	6.98	86.62	
17	27.06	44.00	36.68	13.99	7.55	5.72	5.75	5.20	4.30	5.85	5.97	70.46	
18	48.45	54.06	33.89	14.01	7.51	6.56	5.56	5.13	4.22	5.18	4.39	62.27	
19	39.35	48.79	32.48	13.77	7.47	6.26	5.61	5.02	4.16	7.03	7.05	118.83	
20	132.41	74.52	33.18	12.84	7.26	6.28	5.43	5.41	4.11	5.19	4.69	81.38	
21	72.56	77.85	36.17	12.67	7.13	6.03	5.39	4.94	4.06	5.23	5.41	111.79	
22	56.89	66.43	32.81	12.69	6.86	5.89	5.27	6.28	3.89	14.15	7.49	76.69	
23	46.31	69.72	30.37	12.48	7.14	5.89	5.21	5.46	3.70	14.50	6.80	100.30	
24	41.90	102.95	28.05	12.20	6.88	6.58	5.16	8.48	3.50	16.08	6.13	97.50	
25	38.94	110.02	26.67	11.89	7.07	5.89	5.14	6.31	3.39	10.95	19.40	105.59	
26	41.67	99.40	25.46	11.36	6.97	5.82	5.21	5.40	3.45	7.60	10.00	97.95	
27	41.67	96.80	25.08	10.89	7.40	5.90	5.05	5.19	3.47	6.20	9.44	97.31	
28	35.99	81.99	24.20	10.54	9.90	5.77	4.98	5.09	3.31	10.22	7.32	76.09	
29	31.25	79.41	23.64	10.31	7.88	5.90	4.88	5.06	3.87	15.97	16.77	74.81	
30	31.64	86.25	23.27	9.93	7.80			5.02	4.96	14.47	24.42	74.51	
31	27.97	92.47								9.69	30.53	62.45	
32	25.55										40.69		
													
F.Y.: 2077/78													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	58.476	93.653	51.361	24.846	10.276	6.963	5.295	4.494	3.952	2.733	3.612	131.520	159.935
2	58.963	99.530	51.361	24.374	10.206	6.824	5.264	4.430	3.789	2.885	2.960	138.761	
3	60.392	139.306	108.352	23.216	9.973	6.793	5.229	4.333	3.582	2.332	2.571	82.750	
4	58.735	159.935	61.948	22.415	9.661	6.654	5.187	4.277	3.412	2.642	2.376	54.069	
5	62.714	134.964	62.149	22.048	9.700	6.750	5.129	4.157	3.576	2.616	2.038	48.690	
6	65.886	114.500	68.449	21.899	9.700	6.756	5.120	4.078	3.494	2.459	3.475	38.217	
7	58.840	105.441	127.387	21.563	9.289	6.629	5.073	4.160	3.415	2.438	3.901	33.738	
8	52.972	93.621	125.002	20.921	9.083	6.639	5.014	3.818	3.271	2.531	2.423	77.636	
9	68.083	100.319	101.178	19.911	9.131	6.613	4.949	3.674	3.122	3.124	2.036	83.698	
10	59.857	99.526	89.652	19.090	9.058	6.575	4.957	3.600	3.068	2.969	1.621	67.850	
11	79.499	88.550	79.472	18.628	8.831	6.389	4.881	3.615	3.440	2.692	8.550	58.308	
12	66.155	89.283	73.326	18.316	8.806	6.277	5.012	3.613	3.338	2.377	6.663	49.621	
13	105.545	77.019	63.766	17.993	8.592	6.400	4.775	3.625	2.909	2.299	7.306	43.961	
14	102.269	68.823	57.105	17.799	8.183	6.319	4.762	3.648	3.101	2.270	13.627	57.837	
15	84.092	62.626	52.455	17.268	7.915	6.251	4.730	3.745	3.159	2.191	30.526	43.641	
16	110.490	79.760	51.276	17.090	7.824	6.177	4.591	3.614	3.003	2.838	13.587	38.428	
17	89.521	74.738	46.173	16.829	7.856	6.067	4.593	3.538	3.034	5.671	8.167	34.537	
18	81.553	63.095	44.619	15.266	7.981	5.850	4.536	3.396	2.918	3.065	11.017	30.507	
19	91.725	60.027	40.857	14.315	7.643	5.806	4.408	3.413	2.955	3.329	7.387	28.378	
20	72.498	54.398	38.432	14.202	7.678	5.768	4.360	3.448	2.947	2.837	6.629	27.562	
21	70.694	50.349	37.050	13.813	7.616	5.819	4.403	3.493	2.868	4.446	4.820	27.451	
22	69.890	46.457	35.496	13.742	7.710	5.750	4.307	3.419	2.872	8.251	4.212	27.520	
23	60.316	46.072	33.983	13.136	7.722	5.466	4.760	3.382	2.903	6.435	4.776	30.947	
24	82.390	41.092	32.580	12.753	7.693	5.329	4.904	3.378	2.860	6.181	3.908	38.046	
25	96.875	63.659	31.460	12.230	7.707	5.346	4.869	3.663	2.809	11.485	3.475	53.847	
26	118.284	84.469	30.665	11.902	7.592	5.288	4.697	3.581	2.760	9.383	4.151	49.154	
27	111.301	88.728	29.903	11.354	7.453	5.267	4.600	3.400	2.817	30.656	18.868	63.954	
28	104.325	73.936	29.293	11.241	7.289	5.286	4.552	3.382	2.756	7.512	7.811	53.413	
29	125.323	65.669	27.025	10.917	7.222	5.321	4.650	5.187	2.748	5.624	7.855	59.632	
30	114.085	58.945	25.667	10.660	7.085		4.636		2.434	12.716	23.827	74.163	
31	112.111	54.414							2.510	5.545	25.251	88.822	
32	110.430												
													
F.Y.: 2078/79													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	76.173	121.264	53.915	98.438	17.859	10.556	8.315	7.081	4.501	3.728	4.438	11.085	190.414
2	71.038	163.593	49.701	75.752	17.854	10.108	8.066	7.201	4.517	3.458	4.397	7.520	
3	72.468	170.887	47.266	81.817	18.050	9.840	7.820	6.951	4.625	3.325	4.613	7.552	
4	65.727	125.006	57.453	78.684	18.099	9.399	7.822	6.789	4.600	3.352	3.571	5.859	
5	61.466	113.441	78.925	61.677	18.054	9.292	7.760	6.744	4.466	3.160	3.325	5.675	
6	72.160	99.684	73.245	56.008	15.507	9.269	7.630	6.617	4.483	5.281	3.176	5.962	
7	70.401	93.840	57.863	49.838	17.325	9.258	8.041	6.497	4.482	5.805	4.690	6.000	
8	61.673	87.826	53.023	46.413	17.084	9.074	8.023	6.390	4.386	3.711	3.201	9.372	
9	56.298	81.514	51.967	43.844	16.767	8.980	7.806	6.253	5.000	3.195	4.136	6.921	
10	54.741	81.926	51.286	41.429	16.312	8.984	8.444	6.169	4.519	3.956	4.991	6.400	
11	58.444	108.273	55.885	39.443	15.866	8.911	7.827	6.163	4.328	3.094	9.912	9.105	
12	55.975	106.195	52.314	37.711	15.582	8.677	7.681	5.858	4.256	2.807	6.377	27.457	
13	82.603	113.944	48.292	35.707	15.136	8.730	8.057	6.226	4.154	2.751	4.218	13.225	
14	68.450	132.875	51.494	34.220	14.914	11.340	7.681	6.801	3.937	2.727	4.423	17.322	
15	63.499	123.104	50.076	33.069	14.418	15.982	7.531	6.027	3.913	2.700	9.996	134.220	
16	70.911	111.678	47.208	32.307	13.995	11.233	7.340	5.862	4.192	2.758	6.792	33.738	
17	71.293	104.819	45.154	30.732	13.920	10.153	7.216	5.649	4.277	5.774	5.331	23.720	
18	58.522	99.308	44.091	29.609	13.934	9.552	7.028	5.560	4.335	7.178	4.737	25.284	
19	57.158	108.222	42.187	27.281	13.808	9.382	6.776	5.347	4.292	21.782	5.144	24.277	
20	56.058	111.714	40.709	25.939	13.397	9.108	6.948	5.362	4.231	6.980	3.874	42.755	
21	60.997	190.414	39.865	26.023	13.080	9.035	12.158	5.201	4.229	4.606	30.010	47.539	
22	51.380	123.275	38.566	25.475	12.758	9.065	11.478	5.154	4.040	6.759	13.853	38.909	
23	47.074	104.718	37.025	25.072	12.645	8.747	8.870	5.140	3.858	9.592	8.547	55.079	
24	49.257	97.037	36.419	24.777	12.295	8.689	8.091	5.011	3.953	6.858	6.756	34.339	
25	54.856	86.689	34.181	23.743	11.878	8.621	7.901	4.916	3.614	5.701	7.486	55.282	
26	75.540	75.068	32.716	22.574	11.536	8.619	7.774	4.941	3.864	5.208	10.877	37.582	
27	78.308	68.679	31.731	20.986	11.364	8.444	7.882	4.764	3.724	6.364	8.382	48.108	
28	96.218	64.035	29.960	19.489	11.292	8.483	7.502	4.607	3.753	6.788	9.142	50.893	
29	121.857	59.572	28.875	18.781	10.892	8.316	7.540	4.571	3.886	7.887	15.675	42.972	
30	108.508	56.580	27.801	18.672		8.318		4.549	3.906	7.034	7.600	42.753	
31	184.010	54.693	26.442							5.001	7.002	33.057	
32	120.223											28.429	
													
F.Y.: 2079/80													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	26.245	36.255	74.894	50.425	14.190								272.011
2	25.88	33.496	69.593	48.475	14.183								
3	30.149	39.487	63.575	49.974	14.025								
4	27.672	37.154	63.05	45.686	13.866								
5	27.473	32.119	56.88	40.615	13.335								
6	30.107	29.799	52.55	39.251	12.830								
7	27.078	28.036	49.702	36.217	12.483								
8	25.736	34.895	51.23	33.770	12.301								
9	27.993	27.877	53.03	32.235	12.062								
10	32.935	27.736	47.11	30.631	11.699								
11	39.364	35.96	44.213	28.538	11.354								
12	60.886	104.816	40.272	27.954	11.218								
13	48.968	114.674	37.596	26.930	11.125								
14	70.53	74.911	36.137	25.269	11.085								
15	62.465	84.085	34.558	24.331	10.737								
16	59.566	71.64	33.635	23.742	10.287								
17	69.112	72.153	32.604	23.078	10.014								
18	126.648	60.686	38.127	22.173	9.853								
19	103.465	57.596	272.011	21.547	9.387								
20	76.305	53.063	257.966	20.625	9.227								
21	88.689	50.172	250.358	20.638	9.069								
22	92.251	48.464	186.225	20.698	8.958								
23	75.54	47.746	131.573	20.415	8.921								
24	68.21	59.614	113.923	19.002	8.899								
25	58.976	68.784	91.518	18.168	8.640								
26	52.954	59.167	84.483	17.036	8.400								
27	47.531	55.185	78.481	15.997	8.480								
28	42.691	51.257	71.819	15.889	8.361								
29	45.678	49.62	66.859	15.845	8.228								
30	45.387	68.205	60.259	15.579									
31	39.388	72.349	53.734										
32													
